word	pos	zh	category	en	cn
sustainable	adj.	可持续的	环境与能源	Cities need a more sustainable transport system.	城市需要一个更可持续的交通系统。
curriculum	n.	课程体系	教育与学习	The new curriculum includes practical skills and environmental education.	新课程体系包含实用技能和环境教育。
biodiversity	n.	生物多样性	环境与能源	Protecting forests helps preserve biodiversity.	保护森林有助于维护生物多样性。
allocate	v.	分配；拨出	经济与工作	The council will allocate more funds to public transport.	市政委员会将为公共交通拨出更多资金。
assessment	n.	评估	教育与学习	Regular assessment helps teachers identify gaps in understanding.	定期评估有助于教师发现理解上的不足。
emission	n.	排放；排放物	环境与能源	The new standard limits the emission of harmful gases.	新标准限制有害气体的排放。
renewable	adj.	可再生的	环境与能源	Investment in renewable energy can create local jobs.	对可再生能源的投资可以创造当地就业机会。
infrastructure	n.	基础设施	城市与交通	Reliable infrastructure is essential for regional development.	可靠的基础设施对区域发展至关重要。
inequality	n.	不平等	社会与政策	Access to education can help reduce income inequality.	获得教育的机会有助于减少收入不平等。
migration	n.	迁移；移民	社会与政策	Economic opportunities are an important cause of migration.	经济机会是人口迁移的一个重要原因。
substantial	adj.	大量的；重大的	学术与论证	The project requires substantial investment in staff training.	该项目需要在员工培训方面投入大量资金。
justify	v.	证明……合理	学术与论证	The available evidence does not justify this conclusion.	现有证据不足以证明这一结论合理。
consequence	n.	后果	学术与论证	One consequence of rapid growth is increased demand for housing.	快速增长的一个后果是住房需求增加。
retain	v.	保留；留住	经济与工作	Flexible working hours can help companies retain skilled employees.	灵活的工作时间可以帮助企业留住熟练员工。
urbanisation	n.	城市化	城市与交通	Rapid urbanisation puts pressure on housing and public services.	快速城市化给住房和公共服务带来压力。
depletion	n.	消耗；枯竭	环境与能源	Excessive irrigation can lead to the depletion of groundwater.	过度灌溉可能导致地下水枯竭。
conservation	n.	保护；节约	环境与能源	Community involvement is essential for wildlife conservation.	社区参与对野生动物保护至关重要。
habitat	n.	栖息地	环境与能源	Road construction can destroy the natural habitat of rare animals.	道路建设可能破坏珍稀动物的自然栖息地。
ecosystem	n.	生态系统	环境与能源	A small change in temperature can affect an entire ecosystem.	温度的微小变化可能影响整个生态系统。
deforestation	n.	森林砍伐	环境与能源	Deforestation increases the risk of soil erosion.	森林砍伐增加了土壤侵蚀的风险。
erosion	n.	侵蚀	环境与能源	Planting trees can reduce soil erosion on steep slopes.	植树可以减少陡坡上的土壤侵蚀。
fossil	n.	化石	环境与能源	The fossil provides evidence of life millions of years ago.	这块化石提供了数百万年前生命存在的证据。
mitigate	v.	减轻；缓解	环境与能源	Better drainage can mitigate the effects of heavy rainfall.	更好的排水系统可以减轻强降雨的影响。
adaptation	n.	适应；适应性调整	环境与能源	Climate adaptation requires changes to farming practices.	适应气候变化需要调整农业生产方式。
resilience	n.	恢复力；适应力	社会与政策	Strong local networks improve community resilience during a crisis.	牢固的本地联系能提高社区在危机中的恢复力。
carbon	n.	碳	环境与能源	Forests store carbon and help regulate the climate.	森林储存碳并帮助调节气候。
consumption	n.	消耗；消费	经济与工作	Better insulation can reduce household energy consumption.	更好的隔热措施可以减少家庭能源消耗。
efficiency	n.	效率	科技与研究	Automation can improve efficiency in manufacturing.	自动化可以提高制造业的效率。
productivity	n.	生产率	经济与工作	Regular breaks may improve productivity during long working hours.	长时间工作期间定期休息可能提高生产率。
automation	n.	自动化	科技与研究	Automation is changing the skills required in many industries.	自动化正在改变许多行业所需的技能。
innovation	n.	创新	科技与研究	Public funding can encourage innovation in clean technology.	公共资金可以鼓励清洁技术创新。
artificial	adj.	人工的；人造的	科技与研究	Artificial lighting allows crops to grow indoors throughout the year.	人工照明使农作物能够全年在室内生长。
algorithm	n.	算法	科技与研究	The algorithm sorts applications according to clear criteria.	该算法根据明确的标准对申请进行排序。
privacy	n.	隐私	科技与研究	Users should understand how an application protects their privacy.	用户应了解应用程序如何保护他们的隐私。
surveillance	n.	监控；监视	科技与研究	Increased surveillance raises questions about personal privacy.	加强监控引发了有关个人隐私的问题。
digital	adj.	数字的	科技与研究	Digital services should be accessible to older residents.	数字服务应方便老年居民使用。
accessible	adj.	可使用的；易于到达的	社会与政策	Public buildings must be accessible to wheelchair users.	公共建筑必须方便轮椅使用者进出。
literacy	n.	读写能力	教育与学习	Adult literacy programmes can improve employment opportunities.	成人读写能力培训项目可以改善就业机会。
tuition	n.	教学；学费	教育与学习	Rising tuition fees may discourage students from low-income families.	不断上涨的学费可能使低收入家庭的学生望而却步。
scholarship	n.	奖学金	教育与学习	The scholarship covers accommodation and tuition fees.	这项奖学金涵盖住宿费和学费。
vocational	adj.	职业的；职业技术的	教育与学习	Vocational training prepares students for specific occupations.	职业培训帮助学生为特定职业做好准备。
qualification	n.	资格；资历	教育与学习	A recognised qualification can improve a graduate's employment prospects.	受认可的资格证书可以改善毕业生的就业前景。
enrolment	n.	入学；注册人数	教育与学习	University enrolment has increased over the past decade.	过去十年大学入学人数有所增加。
discipline	n.	学科；纪律	教育与学习	Economics is a discipline that examines choices about limited resources.	经济学是一门研究如何选择利用有限资源的学科。
autonomy	n.	自主权	教育与学习	Greater autonomy allows students to plan their own learning.	更大的自主权使学生能够规划自己的学习。
collaboration	n.	合作	科技与研究	International collaboration helps researchers share knowledge and equipment.	国际合作有助于研究人员共享知识和设备。
peer	n.	同龄人；同等地位的人	教育与学习	Feedback from a peer can reveal weaknesses in an argument.	同伴的反馈可以揭示论证中的不足。
critical	adj.	批判性的；关键的	教育与学习	Critical thinking helps students evaluate conflicting information.	批判性思维帮助学生评估相互矛盾的信息。
evaluate	v.	评价；评估	学术与论证	Researchers must evaluate the quality of their evidence.	研究人员必须评估证据的质量。
hypothesis	n.	假设	科技与研究	The experiment was designed to test a specific hypothesis.	该实验旨在检验一个特定假设。
empirical	adj.	实证的	科技与研究	The policy should be supported by empirical evidence.	这项政策应有实证证据支持。
methodology	n.	研究方法	科技与研究	The report explains the methodology used to collect data.	报告解释了收集数据所采用的研究方法。
correlation	n.	相关性	科技与研究	A correlation between two factors does not prove causation.	两个因素之间的相关性并不能证明因果关系。
causation	n.	因果关系	科技与研究	Establishing causation requires more than a simple comparison.	确定因果关系需要的不只是简单比较。
variable	n.	变量	科技与研究	The experiment changes only one variable at a time.	该实验每次只改变一个变量。
reliable	adj.	可靠的	学术与论证	Reliable data are essential for effective public planning.	可靠的数据对有效的公共规划至关重要。
valid	adj.	有效的；有根据的	学术与论证	This is a valid concern that deserves further investigation.	这是一个有根据的担忧，值得进一步调查。
bias	n.	偏差；偏见	学术与论证	A small sample can introduce bias into the results.	小样本可能使结果产生偏差。
sample	n.	样本	科技与研究	The sample includes participants from several age groups.	样本包含几个年龄组的参与者。
statistic	n.	统计数据	学术与论证	A single statistic cannot explain a complex social problem.	单个统计数据无法解释复杂的社会问题。
proportion	n.	比例	学术与论证	A growing proportion of residents travel to work by bicycle.	骑自行车上班的居民比例正在增加。
fluctuate	v.	波动	学术与论证	Food prices tend to fluctuate with changes in supply.	食品价格往往随着供应变化而波动。
plateau	n.	稳定期；高原	学术与论证	After rapid growth, sales reached a plateau in June.	快速增长之后，销售额在六月进入稳定期。
decline	n.	下降；减少	学术与论证	The chart shows a gradual decline in coal consumption.	图表显示煤炭消耗量逐渐下降。
projection	n.	预测	学术与论证	The population projection assumes that migration remains stable.	该人口预测假定迁移情况保持稳定。
demographic	adj.	人口统计的	社会与政策	Demographic changes affect demand for schools and healthcare.	人口结构变化影响对学校和医疗服务的需求。
ageing	n.	衰老；老龄化	社会与政策	Population ageing creates new challenges for public services.	人口老龄化给公共服务带来新的挑战。
fertility	n.	生育能力；肥力	社会与政策	A falling fertility rate can change the age structure of a population.	生育率下降可能改变人口的年龄结构。
dependency	n.	依赖	社会与政策	Better public transport can reduce dependency on private cars.	更好的公共交通可以减少对私家车的依赖。
pension	n.	养老金	社会与政策	A stable pension helps retired workers meet basic expenses.	稳定的养老金帮助退休人员支付基本开支。
welfare	n.	福利；福祉	社会与政策	Social welfare programmes support people during periods of unemployment.	社会福利项目在失业期间为人们提供支持。
subsidy	n.	补贴	经济与工作	The subsidy helps small farms invest in efficient equipment.	这项补贴帮助小型农场投资高效设备。
incentive	n.	激励；刺激	经济与工作	Lower taxes can provide an incentive to invest in clean energy.	降低税收可以激励人们投资清洁能源。
regulation	n.	法规；管理	社会与政策	Effective regulation can protect consumers from misleading claims.	有效的监管可以保护消费者免受误导性宣传的影响。
legislation	n.	法律；立法	社会与政策	New legislation requires companies to report their carbon emissions.	新法律要求企业报告碳排放量。
accountability	n.	问责；责任	社会与政策	Transparent spending records improve public accountability.	透明的支出记录有助于加强公共问责。
transparency	n.	透明度	社会与政策	Greater transparency can build trust in public institutions.	更高的透明度可以建立对公共机构的信任。
consensus	n.	共识	学术与论证	The committee reached a consensus after reviewing the evidence.	委员会在审查证据后达成了共识。
controversial	adj.	有争议的	学术与论证	The proposal remains controversial because of its social costs.	由于社会成本问题，这项提案仍然存在争议。
feasible	adj.	可行的	学术与论证	The study examines whether the proposed railway is financially feasible.	该研究考察拟建铁路在财务上是否可行。
viable	adj.	切实可行的	经济与工作	The company needs a viable plan for long-term growth.	公司需要一个切实可行的长期增长计划。
expenditure	n.	支出	经济与工作	Public expenditure on healthcare has risen steadily.	公共医疗支出稳步上升。
revenue	n.	收入；财政收入	经济与工作	Tourism provides an important source of revenue for the region.	旅游业为该地区提供了重要的收入来源。
deficit	n.	赤字；不足	经济与工作	The government plans to reduce the budget deficit gradually.	政府计划逐步减少预算赤字。
inflation	n.	通货膨胀	经济与工作	High inflation reduces the purchasing power of household income.	高通货膨胀会降低家庭收入的购买力。
recession	n.	经济衰退	经济与工作	Small businesses often struggle to obtain credit during a recession.	经济衰退期间，小企业往往难以获得信贷。
entrepreneur	n.	企业家；创业者	经济与工作	The entrepreneur developed a service for local food producers.	这位创业者为当地食品生产者开发了一项服务。
entrepreneurship	n.	创业；企业家精神	经济与工作	Access to affordable loans can encourage entrepreneurship.	获得低成本贷款可以鼓励创业。
outsourcing	n.	外包	经济与工作	Outsourcing can lower costs but may reduce control over quality.	外包可以降低成本，但可能削弱对质量的控制。
globalisation	n.	全球化	经济与工作	Globalisation has increased competition between manufacturers.	全球化加剧了制造商之间的竞争。
